0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,562,3218,2072,14339,2343,12690,944,3489,2,1390,406,1603,608,504
15,300,2289,119,2628,2686,8457,604,3075,3,656,280,1080,422,203
14,208,3536,71,1488,4760,12676,763,6522,55,1255,555,1967,797,341
13,642,7192,39,4134,7758,21532,525,9504,19,2199,1143,2855,637,524
12,1012,13524,2,8628,14105,35991,1994,15329,35,4654,2353,4817,942,942
11,393,9957,3,6764,8890,26864,5080,15471,108,6690,2418,6075,1503,1128
10,189,6993,78,10790,7920,30236,4786,18100,136,8800,677,6888,1678,1276
9,108,6902,940,12284,8126,30684,4406,18580,43,14601,130,5023,1497,1439
8,134,6485,1064,12528,7657,33655,4802,24140,57,19827,54,4566,2131,1535
7,146,6826,880,10307,7688,39638,6395,28526,214,21346,93,4778,1803,1662
6,78,7952,943,8074,9613,40111,5312,29131,272,16790,113,5197,1591,1928
5,95,5353,683,6776,10725,42815,4775,31087,65,14931,89,4670,1276,1949
4,71,3879,498,4819,7881,31488,3485,22638,47,10195,66,3517,929,1434
3,45,2639,316,3070,5023,20046,2203,14410,30,5070,43,2382,586,893
2,39,2266,273,2673,4367,17405,1880,12434,26,3856,35,2235,493,772
1,62,3822,467,5170,7466,29626,3148,21114,43,5997,58,3971,808,1310
0,49,3382,380,4184,6060,24486,2555,17319,35,4942,48,3593,663,1091
